animeTitle	B-Legend! Battle B-Daman Fire Spirits!
animeType	TV
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.37
animeUsers	2262
animeRank	
animePopularity	7325
animeDescription	"It is not uncommon to wish upon shooting stars. But for B-DaPlayers all around the world, what they seek is not for their wishes to be granted. Gazing upon what many would assume are just rocks shrunk to the size of a pebble by atmospheric entry and fallen to the earth, the fated ones see instead what are known as Strike Shots—powerful marbles originating from the vast and mystical outer space. 

After achieving triumph in the war against his ultimate foes, Yamato Daiwa continues his journey as a rising B-DaPlayer, looking to obtain a new power worthy of his improved battle gear.

[Written by MAL Rewrite]"
animeRelated	['B-Densetsu! Battle B-Daman', 'B-Legend! Battle B-Daman']
animeCharacters	['Enjyu', 'Daiwa, Yamato', 'Akyuras', 'Vincent, Liena Grace', 'Yong Fa, Li', 'McDonald, Cain', 'Yong Fa, Wen', 'Gunnos']
animeVoices	['Takagi, Reiko', 'Hoshi, Souichirou', 'Yuuki, Hiro', 'Ohmoto, Makiko']
animeStaff	[['Hashimoto, Mitsuo', 'Director'], ['Takahashi, Hideo', 'Sound Director'], ['Kawaguchi, Keiichirou', 'Episode Director, Storyboard, Key Animation'], ['Kramer, Steve', 'Script']]
