animeTitle	b'Kuro-Nikuru Girls'
animeType	b'ONA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The digital sale/airing of the Chain Chronicle: Haecceitas no Hikari movies includes its own unique version of the Chain Chronicle chibi shorts, different from the chibi shorts shown with the theater airing. Their focus is on the female cast.'
animeRelated	[b'Chain Chronicle: Haecceitas no Hikari Part 1', b'Chain Chronicle: Haecceitas no Hikari Part 2', b'Chain Chronicle: Haecceitas no Hikari Part 3', b'Chen-Kuro Gakuen', b'Kine-Pass Gekijou', b'Chein Kuro-Nikuru!!']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
