animeTitle	b'Anime de Wakaru Shinryounaika'
animeType	b'ONA'
animeNumEpisode	20
releaseDate	
endDate	
animeNumMembers	
animeScore	6.58
animeUsers	14935
animeRank	
animePopularity	
animeDescription	b'The psychologist Ryou and his cheerful nurse Asuna explain many aspects of mental illness to the reader. They cover topics such as the validity, prevalence, and origins of mental disorders, in addition to addressing specific disorders. The information is imparted in a cheerful and comic manner, with various jokes, puns, and pop culture references.\n\n(Source: MU)'
animeRelated	[b'Manga de Wakaru Shinryounaika']
animeCharacters	[b'Kangoshi, Asuna', b'Shinnai, Ryou', b'Kangoshi, Himeru', b'Kangoshi, Iyashi', b'Kangoshi, Sukizou', b'Sudou, Kazuki']
animeVoices	[b'\nEndou, Yurika\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nUchida, Maaya\nJapanese\n', b'\nHikasa, Youko\nJapanese\n', b'\nOgata, Kenichi\nJapanese\n', b'\nSudou, Saori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOgura, Hirofumi\n\nDirector\n\n', b'\nOokuma, Akira\n\nSound Director\n\n', b'\nUchida, Maaya\n\nTheme Song Performance\n\n', b'\nKurosu, Katsuhiko\n\nTheme Song Arrangement\n\n']
