animeTitle	Inazuma Eleven: Saikyou Gundan Ogre Shuurai
animeType	Movie
animeNumEpisode	1
releaseDate	2010-12-23 00:00:00
endDate	
animeNumMembers	23770
animeScore	7.31
animeUsers	14523
animeRank	2373
animePopularity	3697
animeDescription	"An organization in the future sends the specially trained Team Ogre to defeat Endou Mamoru and his team, to prevent him from influencing the world with his soccer.

(Source: AniDB)"
animeRelated	['Inazuma Eleven']
animeCharacters	['Endou, Mamoru', 'Gouenji, Shuuya', 'Kidou, Yuuto', 'Sleed, Baddap', 'Endou, Kanon', 'Fubuki, Shirou', 'Kiyama, Hiroto', 'Afuro, Terumi', 'Kazemaru, Ichirouta', 'Sakuma, Jirou']
animeVoices	['Takeuchi, Junko', 'Nojima, Hirofumi', 'Yoshino, Hiroyuki', 'Kamiya, Hiroshi', 'Miyano, Mamoru', 'Mizushima, Takahiro', 'Sanpei, Yuuko', 'Nishigaki, Yuka', 'Tano, Megumi']
animeStaff	[['Miyao, Yoshikazu', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Yoshida, Tooru', 'Episode Director, Storyboard'], ['Yamada, Hirokazu', 'Episode Director']]
