animeTitle	Battle Athletess Daiundoukai (TV)
animeType	TV
animeNumEpisode	26
releaseDate	1997-10-03 00:00:00
endDate	1998-03-27 00:00:00
animeNumMembers	8123
animeScore	6.88
animeUsers	2787
animeRank	4270
animePopularity	5770
animeDescription	"Akari Kanzaki has just joined an all-girls academy in hopes of entering the University Satellite, an elite sports training facility. She wants to win the title of Cosmo Beauty - a title held years ago by her mother. It's not an easy task for her as fear, doubt and peer pressure get in her way, but friends, rivals and fans slowly encourage her to overcome her obstacles and become the best of the Battle Athletes. 

(Source: ANN)"
animeRelated	['Battle Athletes Daiundoukai', 'Battle Athletess Daiundoukai', 'Battle Athletess Daiundoukai ReSTART!']
animeCharacters	['Kanzaki, Akari', 'Yanagida, Ichino', 'Christopher, Chris', 'Respighi, Anna', 'Natdhipytadd, Tanya', 'Gartland, Jessie', 'Roznovsky, Ayla V.', 'Walder, Mylandah Arkar', 'Feldnunt, Lahrri', 'Oldman, Grant']
animeVoices	['Natsuki, Rio', 'Hisakawa, Aya', 'Kawakami, Tomoko', 'Yajima, Akiko', 'Sakaguchi, Aya', 'Itou, Miki', 'Soumi, Youko', 'Okamura, Akemi', 'Yamaguchi, Yuriko', 'Nakata, Kouji']
animeStaff	[['Maseba, Yutaka', 'Producer'], ['Akiyama, Katsuhito', 'Director'], ['Andou, Ken', 'Episode Director, Storyboard'], ['Suzuki, Toshimasa', 'Episode Director, Storyboard']]
