animeTitle	Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials
animeType	ONA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.38
animeUsers	82113
animeRank	
animePopularity	1336
animeDescription	Episodes 14–16 of OreImo 2 which finish adapting the OreImo novels.
animeRelated	['Ore no Imouto ga Konnani Kawaii Wake ga Nai', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai.']
animeCharacters	['Kousaka, Kirino', 'Kousaka, Kyousuke', 'Gokou, Ruri', 'Aragaki, Ayase', 'Tamura, Manami', 'Makishima, Saori', 'Kurusu, Kanako', 'Akagi, Sena', 'Gokou, Hinata', 'Gokou, Tamaki']
animeVoices	['Taketatsu, Ayana', 'Nakamura, Yuuichi', 'Hanazawa, Kana', 'Hayami, Saori', 'Satou, Satomi', 'Nabatame, Hitomi', 'Tamura, Yukari', 'Ise, Mariya', 'Ogura, Yui']
animeStaff	[['Kanbe, Hiroyuki', 'Director, Episode Director, Storyboard'], ['Motoyama, Satoshi', 'Sound Director'], ['Utsunomiya, Masamitsu', 'Episode Director'], ['Taketatsu, Ayana', 'Theme Song Performance']]
