animeTitle	Arisubyeon-ui Kkumnamu
animeType	Movie
animeNumEpisode	1
releaseDate	1987-01-01 00:00:00
endDate	
animeNumMembers	252
animeScore	
animeUsers	
animeRank	14862
animePopularity	15179
animeDescription	This is a story of a 13 year old girl whose only dream is to participate in the Olympic Games: Her Struggles, her victories, her failures and her willpower fascinate all who help her to become a outstanding athlete.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
