animeTitle	"""Bungaku Shoujo"" Memoire"
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.3
animeUsers	12395
animeRank	
animePopularity	3476
animeDescription	"Episodes which depict the background stories of ""Bungaku Shoujo"" Movie's main heroines."
animeRelated	"['""Bungaku Shoujo"" Series', '""Bungaku Shoujo"" Movie']"
animeCharacters	['Amano, Tooko', 'Asakura, Miu', 'Kotobuki, Nanase', 'Inoue, Konoha', 'Sakurai, Ryuuto', 'Takeda, Chia', 'Amano, Fumiharu', 'Amano, Yui', 'Sakurai, Kanako', 'Miki']
animeVoices	['Hanazawa, Kana', 'Hirano, Aya', 'Mizuki, Nana', 'Saitou, Chiwa', 'Miyano, Mamoru', 'Toyosaki, Aki', 'Fujiwara, Keiji', 'Inoue, Kikuko', 'Mitsuishi, Kotono', 'Tamura, Chika']
animeStaff	[['Kuroki, Rui', 'Producer'], ['Tada, Shunsuke', 'Director'], ['Nakajima, Toshihiko', 'Sound Director'], ['Tagashira, Shinobu', 'Episode Director, Storyboard, Animation Director']]
