animeTitle	b'Kyouiku Shidou The Animation'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.27
animeUsers	1697
animeRank	
animePopularity	
animeDescription	"b'Yoshiyuki loves having sex with girls. He is now a teacher and enjoys sex life with female students. Now that he has had sex with almost all of students, he decides to move to a different school. His next school is a famous girls\' school.... He meets various pretty girls there and soon plans to give ""educational guidance"" to them....\n\n(Source: ErogeShop)'"
animeRelated	[b'Kyouiku Shidou']
animeCharacters	[b'Suzumoto, Kiyoka', b'Yoshiyuki, Inui', b'Kajiwara, Akina', b'Takamiya, Chinatsu', b'Midou, Eriko', b'Kiryuu, Kaede', b'Honjou, Yuzuki']
animeVoices	[b'\nIchimura, Oma\nJapanese\n', b'\nMotoi, Emi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKimura, Takeshi\n\nStoryboard, Character Design\n\n', b'\nKagami\n\nOriginal Character Design\n\n', b'\nBishop\n\nOriginal Creator\n\n']
