animeTitle	Hiiro no Kakera Dai Ni Shou
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.19
animeUsers	22422
animeRank	
animePopularity	2547
animeDescription	Second season of Hiiro no Kakera.
animeRelated	['Hiiro no Kakera']
animeCharacters	['Onizaki, Takuma', 'Komura, Yuuichi', 'Atori, Mahiro', 'Kasuga, Tamaki', 'Oomi, Suguru', 'Inukai, Shinji', 'Kutani, Ryou', 'Vier', 'Zwei', 'Ein']
animeVoices	['Sugita, Tomokazu', 'Namikawa, Daisuke', 'Okano, Kousuke', 'Miyake, Marie', 'Hirakawa, Daisuke', 'Shimowada, Hiroki', 'Nomiya, Kazunori', 'Ohara, Sayaka', 'Kawahara, Yoshihisa', 'Yasumoto, Hiroki']
animeStaff	[['Yoshida, Shunji', 'Episode Director'], ['Satou, Teruo', 'Episode Director, Storyboard'], ['Kimura, Nobukage', 'Episode Director'], ['Uchiyama, Mana', 'Episode Director']]
