animeTitle	b'Pankis! 2-jigen'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'St. Muse Academy: the place for the ""sound of the spirits."" In order for people to live pleasantly among the sound, there is an academy where people learn to balance and control sound. Now, the five failing students receive a special mission...\n\n(Source: MAL News)'"
animeRelated	[]
animeCharacters	[b'Bluenote, Nova', b'Dodosukoi, Chaiko Ko Chanko', b'Birdland, Poko', b'Matador, Theodor', b'Waterhole, Rentarou', b'Hisu', b'Maggie', b'Shot', b'White Noise', b'Hamu']
animeVoices	[b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nUeno, Asa\nJapanese\n', b'\nHiyama, Nobuyuki\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nTakahashi, Hiroki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShinohara, Parako\n\nDirector\n\n', b'\nM!LK\n\nTheme Song Performance\n\n']
