animeTitle	Agatha Christie no Meitantei Poirot to Marple
animeType	TV
animeNumEpisode	39
releaseDate	2004-07-04 00:00:00
endDate	2005-05-15 00:00:00
animeNumMembers	6721
animeScore	6.87
animeUsers	1644
animeRank	4318
animePopularity	6212
animeDescription	Young Mabel West is the daughter of mystery writer Raymond West, who wants her to lead a normal life. Rebelling against this, Mabel wants to be a great detective, and sets out for London to become assistant to none other than Hercule Poirot, the great Belgian detective who resides there. She finally wins the reluctant approval of her father, and embarks on an exciting life of mystery and suspense—his only demand being that she occasionally spend some time with her great-aunt, Jane Marple, in the small village of St. Mary Mead.
animeRelated	['Agatha Christie no Meitantei Poirot to Marple']
animeCharacters	['Poirot, Hercule', 'Marple, Jane', 'West, Mabel', 'Hastings, Arthur', 'Rice, Frederica', 'Miss Lemon', 'Sharpe, Inspector', 'Dunn, Eliza', 'Reed, Gwenda', 'Erskine, Richard']
animeVoices	['Satomi, Koutarou', 'Yachigusa, Kaoru', 'Orikasa, Fumiko', 'Nojima, Hirofumi', 'Tanaka, Atsuko', 'Yara, Yuusaku', 'Morimoto, Leo']
animeStaff	[['Ozeki, Masayuki', 'Episode Director'], ['Shimura, Jouji', 'Episode Director, Storyboard'], ['Ooseki, Masayuki', 'Episode Director'], ['Yonemura, Shouji', 'Script']]
