animeTitle	Kimi ga Nozomu Eien
animeType	TV
animeNumEpisode	14
releaseDate	2003-10-05 00:00:00
endDate	2004-01-04 00:00:00
animeNumMembers	
animeScore	7.21
animeUsers	62705
animeRank	
animePopularity	1318
animeDescription	"In the warmth of a golden sun, timid high school student Haruka Suzumiya confesses to Takayuki Narumi, the boy she admires. Takayuki accepts Haruka's confession and the two become a couple, supported by their mutual friends Mitsuki Hayase and Shinji Taira. All is well for these friends—until tragedy strikes. 

One of them is sent to an unenviable fate, lying dormant in a coma. Three years later, they awaken, but their sudden reappearance in everyone's lives threatens to test the limits of these friends' bonds.

[Written by MAL Rewrite]"
animeRelated	['Akane Maniax', 'Kimi ga Nozomu Eien: Ayu Mayu Gekijou', 'Kimi ga Nozomu Eien: Gundam Parody', 'Kimi ga Nozomu Eien: Next Season']
animeCharacters	['Hayase, Mitsuki', 'Suzumiya, Haruka', 'Narumi, Takayuki', 'Suzumiya, Akane', 'Daikuuji, Ayu', 'Kouzuki, Motoko', 'Tamano, Mayu', 'Sakiyama, Kenzou', 'Ishida, Azusa', 'Hoshino, Fumio']
animeVoices	['Takahashi, Chiaki', 'Kuribayashi, Minami', 'Taniyama, Kishou', 'Mizuhashi, Kaori', 'Asai, Kiyomi', 'Kosuge, Mami', 'Yoshizumi, Kozue', 'Oka, Kazuo', 'Itou, Miki', 'Hitomi']
animeStaff	[['Cook, Justin', 'Producer'], ['Watanabe, Tetsuya', 'Director, Episode Director, Storyboard'], ['Kikuta, Hiromi', 'Sound Director'], ['Takayanagi, Shigehito', 'Episode Director, Storyboard']]
