animeTitle	b'Saezuru Doubutsu wa Yarushikanai!'
animeType	b'ONA'
animeNumEpisode	30
releaseDate	
endDate	
animeNumMembers	
animeScore	6.59
animeUsers	522
animeRank	
animePopularity	
animeDescription	b'Mini anime to promote the movie Saezuru Tori wa Habatakanai: The Clouds Gather, in which the characters turned into cats and dogs. \n\nThe BD/DVD includes the 25 episodes released on the official Twitter account, in addition to 5 new episodes.'
animeRelated	[b'Saezuru Tori wa Habatakanai: The Clouds Gather']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
