animeTitle	K-On! Movie
animeType	Movie
animeNumEpisode	1
releaseDate	2011-12-03 00:00:00
endDate	
animeNumMembers	275218
animeScore	8.34
animeUsers	160323
animeRank	191
animePopularity	629
animeDescription	"Graduation looms for the founding members of the Light Music Club. With only a few precious weeks of school left, the girls decide to make the most of it and plan a trip abroad. Hawaii, New York, Dubai—many destinations are suggested, but after a little help from the club's precious pet turtle, Ton-chan, London is chosen as the host of their next misadventure!

Yui Hirasawa, Mio Akiyama, Tsumugi Kotobuki, Ritsu Tainaka, and Azusa Nakano will visit famous landmarks, perform live music for Londoners, and eat all sorts of delicious food, all while stumbling clumsily from place to place. But the fun won't last forever, as heartfelt songs and goodbyes will be made as their high school days together come to a close. One thing is for certain though: the undeniable friendships these girls have formed is something that will carry on long after the final scene rolls.

[Written by MAL Rewrite]"
animeRelated	['K-On!', 'K-On!!']
animeCharacters	['Hirasawa, Yui', 'Akiyama, Mio', 'Nakano, Azusa', 'Kotobuki, Tsumugi', 'Tainaka, Ritsu', 'Hirasawa, Ui', 'Yamanaka, Sawako', 'Manabe, Nodoka', 'Suzuki, Jun', 'Tainaka, Satoshi']
animeVoices	['Toyosaki, Aki', 'Hikasa, Youko', 'Taketatsu, Ayana', 'Kotobuki, Minako', 'Satou, Satomi', 'Yonezawa, Madoka', 'Sanada, Asami', 'Fujitou, Chika', 'Nagata, Yoriko', 'Itou, Mika']
animeStaff	[['Yamada, Naoko', 'Director, Storyboard'], ['Ishihara, Tatsuya', 'Episode Director, Storyboard'], ['Utsumi, Hiroko', 'Episode Director, Key Animation'], ['Houkago Tea Time', 'Theme Song Performance, Inserted Song Performance']]
