animeTitle	Choujin Locke Special
animeType	Special
animeNumEpisode	1
releaseDate	1979-01-01 00:00:00
endDate	
animeNumMembers	467
animeScore	5.23
animeUsers	193
animeRank	11057
animePopularity	13137
animeDescription	"In 1979, before the movie Choujin Locke was produced, this short pilot was made.

It can be now found on the the extras of the official DVD release of the movie."
animeRelated	['Choujin Locke']
animeCharacters	['Locke', 'Yamaki, Ryu']
animeVoices	[]
animeStaff	[]
