animeTitle	Tsukiyo to Megane
animeType	Movie
animeNumEpisode	1
releaseDate	1966-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16101
animeDescription	"An adaptation of Mimei Ogawa's short story. It was a night with a beautiful moon. An optician visited an old lady who was living in a house alone just outside of town. Since she has gotten older and her eyesight has weakened, she bought a pair of large-rimmed glasses made of tortoise shell... 

(Source: Amazon.com)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
