animeTitle	Jikuu Tantei Genshi-kun
animeType	TV
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	6.31
animeUsers	3990
animeRank	
animePopularity	5682
animeDescription	"It is the 25th century. The dark lord has 'infected' history with time-devices that could damage history beyond repair. Flint and his father lived in the prehistorics when they got turned into fossiles. They are discovered and Flint ges turned back to his original state. With the help of his father, a boy Tony and a girl Sara he has to travel trough time to bring the time-devices back to the land of time so history will be saved.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Genshi', 'Principal Dino', 'Yamato, Tokio', 'Yamato, Sora', 'Love-Love', 'Professor Yamato', 'Pterry', 'Oto-tan', 'Aino, Akira', 'Mr. Mite']
animeVoices	['Suzuki, Akiko', 'Ueda, Yuuji', 'Morita, Kiyu', 'Mizuki, Nana', 'Omimura, Mayuko', 'Satou, Masamichi', 'Nishimura, Chinami', 'Tachiki, Fumihiko', 'Touma, Yumi', 'Chafurin']
animeStaff	[['Fukutomi, Hiroshi', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Tsuchiya, Hiroyuki', 'Episode Director'], ['Kuzuya, Naoyuki', 'Episode Director']]
