animeTitle	Warau Kangofu The Animation
animeType	OVA
animeNumEpisode	2
releaseDate	2007-10-26 00:00:00
endDate	2008-01-25 00:00:00
animeNumMembers	
animeScore	6.72
animeUsers	2161
animeRank	
animePopularity	6678
animeDescription	Warau Kangofu is about a nurse that constantly teases a boy who generally refuses.  The neighboring men to the boy's room constantly overhear the going ons and eventually decide to go after the nurse themselves.  The second episode is a flashback to show how the boy's girlfriend got the courage to confess.
animeRelated	['Warau Kangofu']
animeCharacters	['Hazuki, Miwako', 'Akane', 'Aki', 'Yumiko', 'Harada, Yuuji', 'Misaki']
animeVoices	['Sakurai, Harumi', 'Hitomi']
animeStaff	[['Araki, Hideki', 'Director'], ['Yonekura, Kengo', 'Original Creator'], ['Kurata, Kenichi', 'Art Director']]
