animeTitle	Assemble Insert
animeType	OVA
animeNumEpisode	2
releaseDate	1989-12-21 00:00:00
endDate	1990-02-25 00:00:00
animeNumMembers	3450
animeScore	6.08
animeUsers	1463
animeRank	8260
animePopularity	8025
animeDescription	"A criminal group known as Demon Seed terrorizes Tokyo with its vast armies of mecha. The local police is afraid to confront them, but one person stands in their way: Maron Namikaze, a 13-year-old idol singer with a catchy voice and unbelievable superhuman strength.

(Source: ANN)"
animeRelated	['Assemble Insert']
animeCharacters	['Namikaze, Maron', 'Hattori', 'Mikawa, Yoshiko', 'Buka, Shi', 'Buka, San', 'Buka, Ni', 'Demon, Kyouzaburou', 'Sonoba, Kagiri', 'Buka, Ichi', 'Shimokoube, Ryouhei']
animeVoices	['Kasahara, Hiroko', 'Wakamoto, Norio', 'Inoue, Kikuko', 'Yamamoto, Masayuki', 'Yamadera, Kouichi', 'Futamata, Issei', 'Otsuka, Chikao', 'Kawamura, Maria', 'Matsumoto, Yasunori', 'Nagai, Ichiro']
animeStaff	[['Tomobuki, Ami', 'Director'], ['Kasahara, Hiroko', 'Theme Song Performance'], ['Tanaka, Kouhei', 'Music'], ['Yuuki, Masami', 'Original Creator']]
