animeTitle	b'Tokimeki Runners'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.82
animeUsers	1026
animeRank	
animePopularity	
animeDescription	b'Music video included with the debut album for the Love Live! multimedia project Nijigasaki High School Idol Club.'
animeRelated	[b'Love Live! School Idol Project', b'Love Live! Sunshine!!', b'Love Live! Nijigasaki Gakuen School Idol Doukoukai']
animeCharacters	[b'Konoe, Kanata', b'Verde, Emma']
animeVoices	[]
animeStaff	[]
