animeTitle	b'Teekyuu 8'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.63
animeUsers	6529
animeRank	
animePopularity	
animeDescription	b'Eighth season of the Teekyuu anime series.'
animeRelated	[b'Teekyuu', b'Teekyuu 7', b'Teekyuu 8 Specials', b'Teekyuu 9']
animeCharacters	[b'Bandou, Marimo', b'Shinjou, Kanae', b'Takamiya, Nasuno', b'Oshimoto, Yuri', b'Tomalin', b'Kondou, Annenkov', b'Kondou, Udonko']
animeVoices	[b'\nHanazawa, Kana\nJapanese\n', b'\nMimori, Suzuko\nJapanese\n', b'\nNarumi, Kyoko\nJapanese\n', b'\nWatanabe, Yui\nJapanese\n', b'\nOgura, Yui\nJapanese\n', b'\nKitamura, Eri\nJapanese\n', b'\nIshihara, Kaori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nItagaki, Shin\n\nDirector, Sound Director, Episode Director, Script, Storyboard, Character Design, Animation Director\n\n', b'\nOgura, Yui\n\nTheme Song Performance\n\n', b'\nIshihara, Kaori\n\nTheme Song Performance\n\n', b'\nPiyo\n\nOriginal Character Design\n\n']
