animeTitle	Ougon Yuusha Goldran
animeType	TV
animeNumEpisode	48
releaseDate	1995-02-04 00:00:00
endDate	1996-01-27 00:00:00
animeNumMembers	2166
animeScore	6.85
animeUsers	426
animeRank	4388
animePopularity	9225
animeDescription	"Goldran follows the adventures of three young boys who are tasked with finding alien robot fighters, or Braves, that are sleeping in the form of crystals. Their major antagonist is the flamboyant and thoroughly incompetent Walter, and the villains that follow him are often similarly humorous. 

(Source: Wikipedia)"
animeRelated	['Yuusha-Ou GaoGaiGar', 'Densetsu no Yuusha Da Garn', 'Yuusha Exkaiser', 'Yuusha Tokkyuu Might Gaine', 'Yuusha Shirei Dagwon', 'Taiyou no Yuusha Fighbird', 'Yuusha Keisatsu J-Decker']
animeCharacters	"['Walzac, Walter', 'Suganuma, Dai', 'Dran', 'Tokimura, Kazuki', 'Harashima, Takuya', 'Walzac, Serious', 'Michiru-sensei', ""Serious's subordinate"", 'Captain Shark', 'King of Sodora']"
animeVoices	['Morikawa, Toshiyuki', 'Okano, Kousuke', 'Narita, Ken', 'Morita, Kiyu', 'Minami, Omi', 'Sadaoka, Sayuri', 'Asami, Junko', 'Itou, Kentarou', 'Yamanoi, Jin', 'Genda, Tesshou']
animeStaff	[['Takamatsu, Shinji', 'Director, Episode Director, Storyboard'], ['Chiba, Kouichi', 'Sound Director'], ['Watanabe, Shinichi', 'Episode Director'], ['Yamaguchi, Yuuji', 'Episode Director, Storyboard']]
