animeTitle	Nukko.
animeType	TV
animeNumEpisode	24
releaseDate	2012-04-02 00:00:00
endDate	2012-09-19 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15195
animeDescription	"The new Nukko. anime is an adolescent school story revolving around Nukko and Nukko's slightly(?) oddball friends.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Nukko', 'Ikko']
animeVoices	['Yamamoto, Ayano', 'Kashida, Yuuri']
animeStaff	[['Onaka, Takeshi', 'Director, Character Design'], ['Miyazaki, Maya', 'Character Design'], ['Adachi, Motoichi', 'Series Composition']]
