animeTitle	b'Zutto Suki Datta'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.65
animeUsers	1260
animeRank	
animePopularity	
animeDescription	"b""Based on the manga by Yuzuki N'."""
animeRelated	[b'Zutto Suki Datta']
animeCharacters	[b'Shiraha, Setsuna']
animeVoices	[]
animeStaff	"[b'\n\n\n\n\n\n', b""\nYuzuki N'\n\nOriginal Creator\n\n"", b'\nKasumi, Kyouka\n\nDirector of Photography\n\n', b'\nHirayama, Shinobu\n\nColor Design\n\n']"
