animeTitle	Lupin the IIIrd: Chikemuri no Ishikawa Goemon
animeType	Movie
animeNumEpisode	1
releaseDate	2017-02-04 00:00:00
endDate	
animeNumMembers	
animeScore	7.86
animeUsers	12093
animeRank	
animePopularity	3254
animeDescription	"Lupin's friend, the samurai Goemon Ishikawa, takes a job as bodyguard for a yakuza boss. But a brutal assassin kills the yakuza and Goemon is honor-bound to track him down.

(Source: IMDB)"
animeRelated	['Lupin III', 'Lupin the IIIrd: Jigen Daisuke no Bohyou', 'Lupin the IIIrd: Mine Fujiko no Uso']
animeCharacters	['Lupin III, Arsene', 'Ishikawa XIII, Goemon', 'Jigen, Daisuke', 'Mine, Fujiko', 'Zenigata, Kouichi', 'Hawk', 'Inaniwa Jr.', 'Inaniwa, Makio']
animeVoices	['Kurita, Kanichi', 'Namikawa, Daisuke', 'Kobayashi, Kiyoshi', 'Sawashiro, Miyuki', 'Yamadera, Kouichi', 'Hashi, Takaya', 'Miyauchi, Atsushi', 'Sugou, Takayuki']
animeStaff	[['Koike, Takeshi', 'Producer, Director, Episode Director, Character Design'], ['Takahashi, Yuuya', 'Script'], ['Laufer, Rob', 'Theme Song Performance'], ['Monkey Punch', 'Original Creator']]
