animeTitle	Doraemon Movie 37: Nobita no Nankyoku Kachikochi Daibouken
animeType	Movie
animeNumEpisode	1
releaseDate	2017-03-04 00:00:00
endDate	
animeNumMembers	
animeScore	7.38
animeUsers	1884
animeRank	
animePopularity	7988
animeDescription	"About 700 million years ago, the Earth was covered in ice, becoming a white planet – a snowball Earth. It is said that this continued for millions of years... This time, Doraemon and his friends set off to an icy, wintry, freezing journey to find a hotter, crazier, and more exciting adventure than ever before!

(Source: Toho)"
animeRelated	['Doraemon (2005)']
animeCharacters	['Doraemon', 'Nobi, Nobita', 'Minamoto, Shizuka', 'Honekawa, Suneo', 'Gouda, Takeshi', 'Kaara']
animeVoices	['Mizuta, Wasabi', 'Oohara, Megumi', 'Kakazu, Yumi', 'Seki, Tomokazu', 'Kimura, Subaru', 'Kugimiya, Rie']
animeStaff	[['Takahashi, Atsushi', 'Director, Script'], ['Kameda, Seiji', 'Theme Song Arrangement'], ['Fujiko, Fujio F.', 'Original Creator'], ['Suehiro, Takashi', 'Director of Photography']]
