animeTitle	Dokushin Apartment Dokudami-sou
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.54
animeUsers	373
animeRank	
animePopularity	10275
animeDescription	Based on the manga by Takashi Fukutani.
animeRelated	['Dokushin Apartment Dokudamisou']
animeCharacters	['Hori, Yoshio', 'Yuuho', 'Osamu', 'Roku', 'Shinobu', 'Yumi']
animeVoices	['Futamata, Issei', 'Tsuru, Hiromi', 'Nakahara, Shigeru', 'Anzai, Masahiro', 'Ikura, Kazue', 'Takada, Yumi']
animeStaff	[['Yokoyama, Masakazu', 'Sound Effects'], ['Oda, Hitoshi', 'Key Animation, Animation Director, Character Design'], ['Ishigaki, Tsutomu', 'Art Director']]
