animeTitle	Ai no Wakakusa Monogatari
animeType	TV
animeNumEpisode	48
releaseDate	1987-01-11 00:00:00
endDate	1987-12-27 00:00:00
animeNumMembers	
animeScore	7.4
animeUsers	2506
animeRank	
animePopularity	6033
animeDescription	Meg, faithful and gentle, Jo, independent and energetic, Beth, quiet and shy, Amy, amiable and precocious–the four sisters live vigorously and happily at home with their gentle mother while waiting for their father to return from the Civil War. Helping each other, they challenge their fates and grow up to become wonderful women.
animeRelated	['Wakakusa Monogatari: Nan to Jo-sensei', 'Wakakusa no Yon Shimai', 'Ai no Wakakusa Monogatari Specials']
animeCharacters	['March, Josephine', 'March, Elisabeth', 'March, Amy', 'March, Margaret', 'Laurence, Theodore ', 'Brooke, John', 'March, Frederic', 'Martha', 'March, David']
animeVoices	['Yamada, Eiko', 'Shou, Mayumi', 'Sakuma, Rei', 'Han, Keiko', 'Tobita, Nobuo', 'Kojima, Toshihiko', 'Saka, Osamu', 'Mizuki, Ranko', 'Shioya, Kouzou']
animeStaff	[['Kurokawa, Fumio', 'Director, Storyboard'], ['Miyazaki, Akira', 'Script'], ['Kusuba, Kouzou', 'Storyboard'], ['Matsumi, Shinichi', 'Storyboard, Assistant Director']]
