animeTitle	Break Blade 4: Sanka no Chi
animeType	Movie
animeNumEpisode	1
releaseDate	2010-10-30 00:00:00
endDate	
animeNumMembers	
animeScore	7.85
animeUsers	33325
animeRank	
animePopularity	2380
animeDescription	Fourth Break Blade Movie.
animeRelated	['Break Blade', 'Break Blade 3: Kyoujin no Ato', 'Break Blade 5: Shisen no Hate']
animeCharacters	['Arrow, Rygart', 'Erster, Sigyn', 'Girge', 'Zess', 'Zaubraff, Cleo', 'Stryze, Narvi', 'Borcuse', 'Hodr', 'True', 'Baldr']
animeVoices	['Hoshi, Souichirou', 'Saitou, Chiwa', 'Toriumi, Kousuke', 'Kamiya, Hiroshi', 'Hanazawa, Kana', 'Inoue, Marina', 'Nakai, Kazuya', 'Nakamura, Yuuichi', 'Ogata, Kenichi', 'Sugawara, Masashi']
animeStaff	[['Hirasawa, Nao', 'Producer'], ['Habara, Nobuyoshi', 'Director, Storyboard'], ['Tsuruoka, Youta', 'Sound Director'], ['Foster, Steven', 'Script, ADR Director']]
