animeTitle	Highlander: The Search for Vengeance
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.73
animeUsers	7733
animeRank	
animePopularity	4437
animeDescription	"Colin MacLeod, the immortal Scottish Highlander, travels with the wise-cracking ghost Amergan in search of the immortal despot Marcus Octavius, who killed Colin's lover on the Celtic plains centuries earlier. The once great city of New York is now submerged under water, with only one dominant fortress towering over the sea, the fortress of Marcus Octavius. MacLeod is torn between saving the survivors of New York and hunting down his nemesis.

(Source: ANN)"
animeRelated	[]
animeCharacters	['MacLeod, Colin', 'Dahlia', 'Octavius, Marcus', 'Gregor', 'Rudy', 'Malike', 'Doc', 'Amergan', 'Joe', 'Kyala']
animeVoices	['Oguri, Shun', 'Park, Romi', 'Yamadera, Kouichi', 'Hashi, Takaya', 'Yara, Yuusaku', 'Sasaki, Seiji', 'Ishizuka, Unshou', 'Tomita, Kousei', 'Takayama, Minami', 'Hayashibara, Megumi']
animeStaff	[['Hamasaki, Hiroshi', 'Co-Director, Storyboard, Key Animation'], ['Saitou, Yuuichirou', 'Assistant Producer'], ['Kawajiri, Yoshiaki', 'Director'], ['HIM', 'Theme Song Performance']]
