animeTitle	b'MONSTER GENERATiON'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.71
animeUsers	1112
animeRank	
animePopularity	
animeDescription	"b""Official music video for IDOLiSH7's MONSTER GENERATiON album."""
animeRelated	[b'MEMORiES MELODiES', b'RESTART POiNTER', b'Nanatsu-iro REALiZE', b'WiSH VOYAGE', b'IDOLiSH7']
animeCharacters	[b'Nanase, Riku', b'Ousaka, Sougo', b'Yotsuba, Tamaki', b'Izumi, Iori', b'Izumi, Mitsuki', b'Rokuya, Nagi', b'Nikaidou, Yamato']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nTanemura, Arina\n\nOriginal Character Design\n\n', b'\nTatamitani, Tetsuya\n\nAnimation Director\n\n']
