animeTitle	b'Ulibyeol Ilhowa Eollugso'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.78
animeUsers	592
animeRank	
animePopularity	
animeDescription	"b'An adventure by Il-ho the Satellite Girl and a shy cow to save the world from a black monster.\n\n""The Satellite Girl and Milk Cow"" is a debuting animation by Jang Hyeong-yoon who is also known as the \'genius director\' for his achievements in the omnibus movie ""Indie Anibox: Selma\'s Protein Coffee"" and others.\n\n(Source: HanCinema)'"
animeRelated	[b'Naeil-eun Pyeongbeomhae Jilgeoya']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
