animeTitle	Gekisou! Rubenkaiser
animeType	TV
animeNumEpisode	17
releaseDate	1977-10-10 00:00:00
endDate	1978-02-06 00:00:00
animeNumMembers	439
animeScore	
animeUsers	
animeRank	15730
animePopularity	13293
animeDescription	"A race car driver competes around the world in a race car left to him by his father.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Hayami, Shunsuke', 'Hayami, Yoshiko', 'Tachibana, Shuuto', 'Arashi, Ginjiro', 'Takagi, Ryouko', 'Narrator']
animeVoices	['Mitsuya, Yuuji', 'Senou, Reiko', 'Sogabe, Kazuyuki', 'Naya, Gorou', 'Tanaka, Mayumi', 'Murakoshi, Ichirou']
animeStaff	[['Annou, Takashi', 'Episode Director'], ['Nunokawa, Yuuji', 'Episode Director, Chief Animation Director'], ['Hasegawa, Yasuo', 'Episode Director'], ['Aoki, Yuuzou', 'Episode Director']]
