animeTitle	Mai-HiME: Kuro no Mai/Saigo no Bansan
animeType	Special
animeNumEpisode	1
releaseDate	2010-01-27 00:00:00
endDate	
animeNumMembers	
animeScore	6.69
animeUsers	2296
animeRank	
animePopularity	6685
animeDescription	Mai invites Reito to go with her to the beach and also says that she prefers him over Tate. But little does he know, that this is actually part of a plan for revenge. 
animeRelated	['Mai-HiME']
animeCharacters	['Tokiha, Mai', 'Kanzaki, Reito', 'Kuga, Natsuki', 'Fujino, Shizuru', 'Minagi, Mikoto', 'Yuuki, Nao', 'Okuzaki, Akira', 'Sugiura, Midori', 'Glear, Miyu', 'Searrs, Alyssa']
animeVoices	['Nakahara, Mai', 'Seki, Toshihiko', 'Chiba, Saeko', 'Shindo, Naomi', 'Shimizu, Ai', 'Tamura, Yukari']
animeStaff	[['Hisayuki, Hirokazu', 'Character Design']]
