animeTitle	Kyousou Giga (2012)
animeType	ONA
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	7.16
animeUsers	10569
animeRank	
animePopularity	3557
animeDescription	Three kids are stuck in a strange city causing massive mayhem through the land. They are searching for an atypical rabbit in order to return home. Koto, the eldest of the three, seems to have some sort of connection to this weird place ruled by a monk, a demon, and a priest.
animeRelated	['Kyousou Giga', 'Kyousou Giga (TV)', 'Kyousou Giga (TV) Recaps']
animeCharacters	['Koto', 'Myoue', 'Inari', 'Yase, Douji', 'Shouko', 'Kurama', 'Un', 'A', 'Fushimi']
animeVoices	['Kugimiya, Rie', 'Suzumura, Kenichi', 'Hisakawa, Aya', 'Ishida, Akira', 'Kitamura, Eri', 'Saitou, Chiwa', 'Nakahara, Shigeru', 'Shiraishi, Ryouko', 'Hidaka, Noriko', 'Takemoto, Eiji']
animeStaff	[['Matsumoto, Rie', 'Director, Episode Director, Storyboard'], ['Kobayashi, Hiroshi', 'Episode Director, Storyboard'], ['Hatano, Kouhei', 'Episode Director'], ['Kaizawa, Yukio', 'Storyboard, Editing']]
