animeTitle	b'Katte ni Kaizou'
animeType	b'OVA'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.9
animeUsers	8986
animeRank	
animePopularity	
animeDescription	"b""Katsu Kaizou is a very gullible, 17-year-old high school student and a believer in science fiction, aliens, ghosts, UFOs, conspiracies, etc. He thinks that everything going on around him is the result of some sort of alien plot to take over the world. Each story is pretty much self-contained and is completely bizarre. Kaizou joins the school's science club, makes new friends, and ends up coming in contact with all sorts of strange things like log people, deadly sushi, pee-blades, scary infections, robot invasions, ghosts, living dolls, and more!"""
animeRelated	[b'Katte ni Kaizou', b'Katte ni Kaizou Specials']
animeCharacters	[b'Katsu, Kaizou', b'Natori, Umi', b'Tsubouchi, Chitan', b'Saien, Suzu', b'Shie-chan', b'Narrator', b'Nukata', b'Maeda-sama', b'Jun', b'Katsu, Mother']
animeVoices	[b'\nSakurai, Takahiro\nJapanese\n', b'\nKitamura, Eri\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nToyosaki, Aki\nJapanese\n', b'\nShintani, Ryouko\nJapanese\n', b'\nTachiki, Fumihiko\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nTakaoka, Binbin\nJapanese\n', b'\nNagata, Yoriko\nJapanese\n', b'\nHirata, Mana\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKubota, Mitsutoshi\n\nProducer\n\n', b'\nMiyamoto, Junnosuke\n\nProducer\n\n', b'\nOoshima, Miku\n\nAssistant Producer\n\n', b'\nShinbou, Akiyuki\n\nDirector\n\n']
