animeTitle	b'D4 Princess'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	6.08
animeUsers	685
animeRank	
animePopularity	
animeDescription	"b'Doris Ruridou is young princess who had just entered Teito Academy. She is also a Panzer, a person with special abilities and fights with a weapon called a ""tool"". Shortly after entering, her older sister shows up to teach her how to fight as a Panzer against other Panzers who challenge her.\n\n(Source: ANN)'"
animeRelated	[b'D4 Princess']
animeCharacters	[b'Ruridou, Doris', b'Ruridou, Doria', b'Gaou, Nejiru', b'Jii', b'Kakariin', b'Ryouchou', b'Hoshiru', b'Koujiba-shunin', b'Takaeda, Hasami', b'Aino, Nozomi']
animeVoices	[b'\nKurata, Masayo\nJapanese\n', b'\nInoue, Kikuko\nJapanese\n', b'\nKonishi, Hiroko\nJapanese\n', b'\nKikuchi, Masami\nJapanese\n', b'\nKatou, Yuuko\nJapanese\n', b'\nOmimura, Mayuko\nJapanese\n', b'\nKurosaki, Ayako\nJapanese\n', b'\nAsada, Yoko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIde, Yasunori\n\nDirector, Series Composition\n\n', b'\nMatsuoka, Hiroki\n\nSound Director\n\n', b'\nHashimoto, Mitsuo\n\nStoryboard\n\n', b'\nWatanabe, Yoshihiro\n\nMechanical Design\n\n']
