animeTitle	b'Tenkuu no Escaflowne'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.68
animeUsers	57874
animeRank	
animePopularity	
animeDescription	"b""Hitomi Kanzaki is just an ordinary 15-year-old schoolgirl with an interest in tarot cards and fortune telling, but one night, a boy named Van Fanel suddenly appears from the sky along with a vicious dragon. Thanks to a premonition from Hitomi, Van successfully kills the dragon, but a pillar of light appears and envelopes them both. As a result, Hitomi finds herself transported to the world of Gaea, a mysterious land where the Earth hangs in the sky.\n\nIn this new land, Hitomi soon discovers that Van is a prince of the Kingdom of Fanelia, which soon falls under attack by the evil empire of Zaibach. In an attempt to fight them off, Van boards his family's ancient guymelef Escaflowne\xe2\x80\x94a mechanized battle suit\xe2\x80\x94but fails to defeat them, and Fanelia ends up destroyed. Now on the run, Hitomi and Van encounter a handsome Asturian knight named Allen Schezar, whom Hitomi is shocked to find looks exactly like her crush from Earth. With some new allies on their side, Van and Hitomi fight back against the forces of Zaibach as the empire strives to revive an ancient power.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Tenkuu no Escaflowne', b'Hitomi: The Vision of Escaflowne', b'Escaflowne: Ishi no Kioku', b'Escaflowne', b'Tenkuu no Escaflowne Recaps']
animeCharacters	[b'Fanel, Van', b'Kanzaki, Hitomi', b'Schezar, Allen', b'Albatou, Dilandau', b'Fanel, Folken', b'Merle', b'Fassa, Dryden', b'Dornkirk', b'Ganesha, Balgus', b'Naria']
animeVoices	[b'\nSeki, Tomokazu\nJapanese\n', b'\nSakamoto, Maaya\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nTakayama, Minami\nJapanese\n', b'\nNakata, Jouji\nJapanese\n', b'\nOotani, Ikue\nJapanese\n', b'\nKosugi, Juurouta\nJapanese\n', b'\nYamanouchi, Masato\nJapanese\n', b'\nGenda, Tesshou\nJapanese\n', b'\nAmano, Yuri\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMaseba, Yutaka\n\nProducer\n\n', b'\nMinami, Masahiko\n\nProducer\n\n', b'\nSasaki, Shirou\n\nProducer\n\n', b'\nAkane, Kazuki\n\nDirector, Storyboard\n\n']
