animeTitle	Kouryuu Densetsu Villgust PV
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15594
animeDescription	"4-minute promotional Anime featuring super-deformed versions of the main characters from the Villgust video game series.
Shown at the Tokyo Toy Show in 1990. Released 2 years before the Kouryuu Densetsu Villgust OVA."
animeRelated	['Kouryuu Densetsu Villgust']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
