animeTitle	Lipton #watashitolipton
animeType	ONA
animeNumEpisode	3
releaseDate	2018-07-20 00:00:00
endDate	2018-10-26 00:00:00
animeNumMembers	
animeScore	5.78
animeUsers	117
animeRank	
animePopularity	14394
animeDescription	Lipton started a #watashitolipton campaign where people have to post a picture of themselves to Instagram or Twitter of them drinking a carton a Lipton while watching the anime. The winner of the campaign will be contacted and anime-ified as a character for 'episode 2'. And the 50 runner ups will receive a free Lipton carton. The deadline is September 7th.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
