animeTitle	Tsundere Inran Shoujo Sukumi
animeType	OVA
animeNumEpisode	2
releaseDate	2012-02-17 00:00:00
endDate	2012-04-13 00:00:00
animeNumMembers	8321
animeScore	6.53
animeUsers	3088
animeRank	
animePopularity	5715
animeDescription	"When the main character visits his school during summer holiday, he accidentally finds Sukumi, his classmate, masturbating in female locker room. ""If you don't want me to bring it out into the open, come here every day!"" Her orders gradually get bolder and they have sex in the pool...? Super erotic summer holiday! His endless summer with Sukumi now starts! 

(Source: ErogeShop)"
animeRelated	[]
animeCharacters	['Natsumize, Sukumi']
animeVoices	['Ogura, Yui']
animeStaff	[['Kurotsuguchi, Narue', 'Director, Episode Director'], ['Shinkai, Kouki', 'Editing'], ['Satou, Masaru', 'Art Director'], ['Hirayama, Shinobu', 'Color Design']]
