animeTitle	Doraemon Movie 30: Nobita no Ningyo Daikaisen
animeType	Movie
animeNumEpisode	1
releaseDate	2010-03-06 00:00:00
endDate	
animeNumMembers	4602
animeScore	7.15
animeUsers	2733
animeRank	3138
animePopularity	7249
animeDescription	"Nobita asks Doraemon to take him somewhere they can dive and as a result the robot-cat uses several gadgets to make it possible for both to able to swim on an imaginary ocean above sea level. Inadvertently a mermaid ends up on Nobita's backyard when they turn off the illusion. Her name is Sophia and she is a princess of an ancient underwater civilization. Doraemon, Nobita, Shizuka, Jyaian, and Suneo quickly become her friends and are invited to visit her homeland. While heading towards the underwater kingdom they find themselves amid a conflict between the mermaids and an opposing tribe that has driven them away from their home planet thousands of years ago. Doraemon, Nobita, and their friends must then aid Sophia find a legendary sword that might bring peace once again to the seas. 

(Source: ANN) "
animeRelated	['Doraemon (2005)']
animeCharacters	['Doraemon', 'Nobi, Nobita', 'Minamoto, Shizuka', 'Honekawa, Suneo', 'Gouda, Takeshi', 'Sophia', 'Nobi, Nobisuke']
animeVoices	['Mizuta, Wasabi', 'Oohara, Megumi', 'Kakazu, Yumi', 'Seki, Tomokazu', 'Kimura, Subaru', 'Tanaka, Rie']
animeStaff	[['Kusuba, Kouzou', 'Director, Storyboard'], ['Kimura, Nobukage', 'Episode Director'], ['mao', 'Theme Song Performance'], ['Fujiko, Fujio F.', 'Original Creator']]
