animeTitle	Soukan Yuugi
animeType	OVA
animeNumEpisode	2
releaseDate	2007-08-10 00:00:00
endDate	2007-11-09 00:00:00
animeNumMembers	
animeScore	6.72
animeUsers	3307
animeRank	
animePopularity	5833
animeDescription	"Yuji just got himself a new board game and he can't wait to play. What Yuji doesn't know is that the game possesses secret powers - sexual powers, to be precise. He and his stepmother decide to give it a try. The game requires drawing cards from a deck that have sexual instructions on them. Though it starts out innocently enough, Yuji soon experiences sexual feelings for his opponent. As the game progresses and the sexual tension escalates, it culminates in a sexual free-for-all with his stepmother and stepsister. 

(Source: Boxtorrents) "
animeRelated	['Soukan Yuugi 2']
animeCharacters	['Kashima, Aoi', 'Kashima, Yuri', 'Kashima, Yuuji']
animeVoices	[]
animeStaff	[['Suginami, Daifuku', 'Director, Storyboard, Key Animation, Animation Director, Character Design'], ['Yoshida, Tomohiro', 'Sound Director'], ['Tsubone, Kentarou', 'Editing']]
