animeTitle	eX-Driver
animeType	OVA
animeNumEpisode	6
releaseDate	2000-07-25 00:00:00
endDate	2001-09-25 00:00:00
animeNumMembers	
animeScore	6.71
animeUsers	3992
animeRank	
animePopularity	5413
animeDescription	"Ex-Driver is set in the future, when all transportation is easily controlled by AI. Though like all machines they tend to break down or lose control or re-programmed. This is where three high schoolers with non AI cars, Subaru WRX, Super 7, Lotus comes in to save the day and make sure the public is safe at all times. 

(Source: ANN)"
animeRelated	['eX-Driver the Movie', 'eX-Driver: Nina & Rei Danger Zone']
animeCharacters	['Sugano, Soichi', 'Sakakino, Lisa', 'Endou, Lorna', 'Tokioka, Keyne', 'Kazama, Rei', 'Thunder, Nina A', 'Munakata, Kei']
animeVoices	['Kobayashi, Yumiko', 'Nagasawa, Miki', 'Asada, Yoko', 'Okiayu, Ryoutarou', 'Kingetsu, Mami', 'Neya, Michiko', 'Ishizuka, Unshou']
animeStaff	[['Kawagoe, Jun', 'Director'], ['Kameyama, Toshiki', 'Sound Director'], ['Lehmann, Karin', 'Script, ADR Director'], ['Shinohara, Toshiya', 'Storyboard']]
