animeTitle	Yuu☆Yuu☆Hakusho: Eizou Hakusho - Ankoku Bujutsukai no Shou
animeType	OVA
animeNumEpisode	2
releaseDate	1994-09-21 00:00:00
endDate	1994-10-05 00:00:00
animeNumMembers	
animeScore	7.25
animeUsers	4473
animeRank	
animePopularity	5028
animeDescription	"These are two recap specials that focus on Team Urameshi's matches in the Dark Tournament, with a few character songs playing in the background. 

There are also two shorts at the end of each episode, both of which are about 1:20 long.

Eizou Hakusho Series: Ankoku Bujutsukai no Shou - Gekan
-Group Photo

Eizou Hakusho Series: Ankoku Bujutsukai no Shou - Joukan
-Koto's Interview"
animeRelated	['Yuu☆Yuu☆Hakusho', 'Yuu☆Yuu☆Hakusho: Eizou Hakusho II', 'Yuu☆Yuu☆Hakusho: Eizou Hakusho - Opening Ending Encyclopedia']
animeCharacters	['Urameshi, Yuusuke', 'Hiei', 'Kurama', 'Kuwabara, Kazuma', 'Botan', 'Toguro, Younger', 'Genkai', 'Koenma', 'Jin', 'Yukimura, Keiko']
animeVoices	['Sasaki, Nozomu', 'Hiyama, Nobuyuki', 'Ogata, Megumi', 'Chiba, Shigeru', 'Miyuki, Sanae', 'Genda, Tesshou', 'Hayashibara, Megumi', 'Yamaguchi, Kappei']
animeStaff	[['Togashi, Yoshihiro', 'Original Creator'], ['Cook, Justin', 'ADR Director'], ['Fukunaga, Gen', 'Executive Producer']]
