animeTitle	Moshimoshi, Terumi Desu.
animeType	ONA
animeNumEpisode	30
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13330
animeDescription	"The story depicts the everyday life of Terumi-san, who dislikes the internet and works at a telephone company called Moshimoshi Dou, and middle school student Rintarou, who is in love with her.

(Source: MAL News)"
animeRelated	['Moshimoshi, Terumi desu.']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
