animeTitle	Hakushaku to Yousei Specials
animeType	Special
animeNumEpisode	6
releaseDate	2008-12-29 00:00:00
endDate	2009-08-19 00:00:00
animeNumMembers	8278
animeScore	6.4
animeUsers	2522
animeRank	6675
animePopularity	5733
animeDescription	Chibi-Earl and Chibi-Fairy. Every special focuses on another character, who will in their turn recite a poem by Shakespeare, that they feel describes their lives the best.
animeRelated	['Hakushaku to Yousei']
animeCharacters	['J. C. Ashenbert, Edgar', 'Raven', 'Carlton, Lydia', 'Kelpie', 'Ulysses', 'Ferman, Paul']
animeVoices	['Midorikawa, Hikaru', 'Sugita, Tomokazu', 'Mizuki, Nana', 'Koyasu, Takehito', 'Miyano, Mamoru', 'Kamiya, Hiroshi']
animeStaff	[['Soutome, Kouichirou', 'Director']]
