animeTitle	Jigoku Sensei Nube
animeType	TV
animeNumEpisode	49
releaseDate	1996-04-13 00:00:00
endDate	1997-06-21 00:00:00
animeNumMembers	16905
animeScore	7.55
animeUsers	4869
animeRank	1477
animePopularity	4309
animeDescription	"Nube is a clumsy, easygoing, and very kind teacher, but he has a secret under his glove on the left hand. He has a monster hand, and he also has the ability to sense ghosts and evil spirits. So he protects his dear students from these evil spirits with his monster hand, proving to be very powerful.

(Source: ANN)"
animeRelated	['Jigoku Sensei Nube', 'Jigoku Sensei Nube OVA', 'Jigoku Sensei Nube: Kyoufu no Natsuyasumi!! Ayashi no Umi no Densetsu!', 'Jigoku Sensei Nube (Movie)', 'Jigoku Sensei Nube: Gozen 0 Ji Nube Shisu!']
animeCharacters	['Nueno, Meisuke', 'Kimura, Katsuya', 'Hosokawa, Miki', 'Inaba, Kyouko', 'Kurita, Makoto', 'Tateno, Hiroshi', 'Yukime', 'Takahashi, Ritsuko', 'Hazuki, Izuna', 'Binbougami']
animeVoices	['Okiayu, Ryoutarou', 'Tanaka, Kazunari', 'Tominaga, Miina', 'Kasahara, Rumi', 'Urawa, Megumi', 'Fujita, Toshiko', 'Shiratori, Yuri', 'Neya, Michiko', 'Honda, Chieko', 'Saikachi, Ryuuji']
animeStaff	[['Nishizawa, Nobutaka', 'Producer, Planning'], ['Kaizawa, Yukio', 'Director, Episode Director'], ['Yamauchi, Shigeyasu', 'Episode Director, Storyboard'], ['Kakudou, Hiroyuki', 'Episode Director, Storyboard']]
