animeTitle	b'Cipher'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.56
animeUsers	4570
animeRank	
animePopularity	
animeDescription	b'Two brothers are in the spotlight: one a movie star making a football movie, the other a musician who occasionally goes to school (to cover for his sibling). What will destiny bring them? '
animeRelated	[b'Cipher']
animeCharacters	[b'Rang, Roy', b'Rang, Jake', b'Murphy, Anise']
animeVoices	[b'\nKabira, Jay\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTominaga, Tsuneo\n\nDirector\n\n', b'\nCollins, Phil\n\nTheme Song Composition, Theme Song Arrangement, Music\n\n', b'\nLoggins, Kenny\n\nTheme Song Arrangement, Theme Song Composition, Music\n\n', b'\nWilliams, Deniece\n\nTheme Song Arrangement, Theme Song Composition, Music\n\n']
