animeTitle	b'Hataraku Maou-sama!'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.79
animeUsers	771669
animeRank	
animePopularity	
animeDescription	"b""Striking fear into the hearts of mortals, the Demon Lord Satan begins to conquer the land of Ente Isla with his vast demon armies. However, while embarking on this brutal quest to take over the continent, his efforts are foiled by the hero Emilia, forcing Satan to make his swift retreat through a dimensional portal only to land in the human world. Along with his loyal general Alsiel, the demon finds himself stranded in modern-day Tokyo and vows to return and complete his subjugation of Ente Isla\xe2\x80\x94that is, if they can find a way back!\n\nPowerless in a world without magic, Satan assumes the guise of a human named Sadao Maou and begins working at MgRonald's\xe2\x80\x94a local fast-food restaurant\xe2\x80\x94to make ends meet. He soon realizes that his goal of conquering Ente Isla is just not enough as he grows determined to climb the corporate ladder and become the ruler of Earth, one satisfied customer at a time!\n\nWhether it's part-time work, household chores, or simply trying to pay the rent on time, Hataraku Maou-sama! presents a hilarious view of the most mundane aspects of everyday life, all through the eyes of a hapless demon lord.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Hataraku Maou-sama!', b'Hataraku Maou-sama! 2nd Season']
animeCharacters	[b'Maou, Sadao', b'Yusa, Emi', b'Ashiya, Shirou', b'Urushihara, Hanzou', b'Sasaki, Chiho', b'Kamazuki, Suzuno', b'Etuva, Emeralda', b'Suzuki, Rika', b'Kisaki, Mayumi', b'Sarue, Mitsuki']
animeVoices	[b'\nOosaka, Ryouta\nJapanese\n', b'\nHikasa, Youko\nJapanese\n', b'\nOno, Yuuki\nJapanese\n', b'\nShimono, Hiro\nJapanese\n', b'\nTouyama, Nao\nJapanese\n', b'\nItou, Kanae\nJapanese\n', b'\nAsakura, Azumi\nJapanese\n', b'\nNishi, Asuka\nJapanese\n', b'\nUchiyama, Yumi\nJapanese\n', b'\nIguchi, Yuuichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHosoda, Naoto\n\nDirector\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nKobayashi, Tomoki\n\nEpisode Director, Storyboard\n\n', b'\nHashimoto, Hiroyuki\n\nEpisode Director\n\n']
