animeTitle	Anne Happy♪
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.96
animeUsers	27794
animeRank	
animePopularity	2120
animeDescription	"Tennomifune Academy is an elite institution for the best and the brightest, with the exception of Class 1-7, the so-called ""Happiness Class."" Each member of the classroom copes with personal misfortunes, and the special class is geared to help them move past their issues and find true happiness. 

After being accepted into the academy, An Hanakoizumi, Ruri Hibarigaoka, and Botan Kumegawa find themselves placed into the Happiness Class, plagued by dreadful luck, love problems, and bad health respectively. Alongside their classmates, they do their best to overcome the difficulties they are faced with in pursuit of a life filled with joy.

[Written by MAL Rewrite]"
animeRelated	['Anne Happy♪']
animeCharacters	['Hanakoizumi, An', 'Hibarigaoka, Ruri', 'Kumegawa, Botan', 'Ekoda, Ren', 'Hagyuu, Hibiki', 'Timothy', 'Kodaira', 'Sayama, Tsubaki', 'Hanakoizumi, Sakura', 'Saginomiya']
animeVoices	['Hanamori, Yumiri', 'Shiraishi, Haruka', 'Yasuno, Kiyono', 'Yoshioka, Mayu', 'Yamamura, Hibiku', 'Morinaga, Chitose', 'Hara, Yumi', 'Gibu, Yuko', 'Koshimizu, Ami']
animeStaff	[['Oonuma, Shin', 'Director'], ['Gou, Fumiyuki', 'Sound Director'], ['Inoue, Keisuke', 'Episode Director, Layout'], ['Ibe, Yuushi', 'Episode Director']]
