animeTitle	Asonde Oboeru Gakushuu DVD
animeType	OVA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	130
animeScore	
animeUsers	
animeRank	14880
animePopularity	17314
animeDescription	An educational DVD series meant to teach children their ABC's, how to read time, simple math, and geography.
animeRelated	['Ki wo Tsukeyou: Douro wa Kiken ga Ippai!', 'Hakkiri Kotowarou: Yuukai Sare Nai zo!', 'Tanoshii Ekaki Uta']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
