animeTitle	Fairy Tail OVA
animeType	OVA
animeNumEpisode	5
releaseDate	2011-04-15 00:00:00
endDate	2013-06-17 00:00:00
animeNumMembers	
animeScore	7.49
animeUsers	86355
animeRank	
animePopularity	1166
animeDescription	"When the members of Fairy Tail aren't destroying towns or defeating powerful foes, they're attending school, travelling back in time, visiting water parks, and taking on odd jobs from strange clients. No matter where they go, a fun adventure always awaits, sometimes in the most unexpected form!

[Written by MAL Rewrite]
"
animeRelated	['Fairy Tail']
animeCharacters	['Dragneel, Natsu', 'Scarlet, Erza', 'Fullbuster, Gray', 'Heartfilia, Lucy', 'Happy', 'Marvell, Wendy', 'Lockser, Juvia', 'Fernandes, Jellal', 'Redfox, Gajeel', 'Dreyar, Laxus']
animeVoices	['Kakihara, Tetsuya', 'Ohara, Sayaka', 'Kitamura, Eri', 'Hirano, Aya', 'Kugimiya, Rie', 'Satou, Satomi', 'Nakahara, Mai', 'Namikawa, Daisuke', 'Hatano, Wataru', 'Konishi, Katsuyuki']
animeStaff	[['Ishihira, Shinji', 'Director'], ['Hata, Shouji', 'Sound Director'], ['Watanabe, Akio', 'Storyboard, Animation Director'], ['Nakamura, Yuuichi', 'Theme Song Performance']]
