animeTitle	Futatsu no Spica
animeType	TV
animeNumEpisode	20
releaseDate	2003-11-01 00:00:00
endDate	2004-03-27 00:00:00
animeNumMembers	9254
animeScore	7.36
animeUsers	3306
animeRank	2116
animePopularity	5464
animeDescription	"When Kamogawa Asumi was just a baby, her mother was grievously injured when a rocket crashed to the ground. Five years later, having been in a coma all the time, Asumi's mother finally dies, and the little girl struggles to come to terms with the death of a mother she barely remembers. In the midst of her turmoil, she meets ""Lion-san,"" a strange figure wearing a lion mask and claiming to be a ghost. Lion-san helps Asumi to bury her mother's ashes, and finally, Asumi reaches her own decision: ""When I grow up, I'm going to be a rocket pilot.""

(Source: ANN)"
animeRelated	['Futatsu no Spica']
animeCharacters	['Lion-san', 'Kamogawa, Asumi', 'Ukita, Marika', 'Suzuki, Shuu', 'Oumi, Kei', 'Fuchuuya, Shinnosuke', 'Kamogawa, Kyouko', 'Suzunari, Yuuko', 'Suzunari, Father', 'Ooyama']
animeVoices	['Koyasu, Takehito', 'Yajima, Akiko', 'Kimura, Akiko', 'Kaida, Yuki', 'Ono, Fuyuka', 'Toyonaga, Toshiyuki', 'Kasahara, Hiroko', 'Mizuno, Risa', 'Kashii, Shouto']
animeStaff	[['Mochizuki, Tomomi', 'Director, Episode Director, Script, Storyboard, Series Composition'], ['Gouda, Hozumi', 'Sound Director'], ['Oonuma, Shin', 'Episode Director'], ['Yamamoto, Yuusuke', 'Episode Director, Storyboard']]
