animeTitle	Musaigen no Phantom World: Mizutama no Kiseki
animeType	Special
animeNumEpisode	1
releaseDate	2016-10-05 00:00:00
endDate	
animeNumMembers	
animeScore	6.8
animeUsers	23182
animeRank	
animePopularity	2500
animeDescription	A special unaired episode of Musaigen no Phantom World bundled with the series' seventh DVD/BD volume.
animeRelated	['Musaigen no Phantom World']
animeCharacters	['Kawakami, Mai', 'Izumi, Reina', 'Minase, Koito', 'Ichijou, Haruhiko', 'Kumamakura, Kurumi', 'Ruru', 'Morohashi, Shousuke', 'Okami', 'Himeno, Arisu']
animeVoices	['Uesaka, Sumire', 'Hayami, Saori', 'Uchida, Maaya', 'Shimono, Hiro', 'Kuno, Misaki', 'Tadokoro, Azusa', 'Sakaguchi, Daisuke', 'Kawasumi, Ayako', 'Inoue, Kikuko']
animeStaff	[['Tadokoro, Azusa', 'Theme Song Performance'], ['SCREEN mode', 'Theme Song Performance'], ['Fukunaga, Gen', 'Executive Producer'], ['Shirabi', 'Original Character Design']]
