animeTitle	Kungya Kungya
animeType	TV
animeNumEpisode	26
releaseDate	2006-11-09 00:00:00
endDate	2007-05-10 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	18396
animeDescription	"Kyungyas, from vegetable kingdom, comes to the Kyungya Restaurant. 
They have a mission to make children eat more vegetable and protect them from greasy, instant dishes. However, far from completing their mission, Kyungyas have hard time keeping the restaurant from bankruptcy. It is because of Onion Kyungya’s experimental dishes. His curiosity makes trouble with Celery Kyungya, the manager of Kyungya restaurant. 
How can they solve the problems they have with the customers. Would it be possible for Kyungyas to accomplish the mission?

(Source: KBS Media)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
