animeTitle	b'Gakuen Tokusou Hikaruon'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.5
animeUsers	1091
animeRank	
animePopularity	
animeDescription	"b""Hikaru is at first sight a student like others but actually it is a super hero defending the Earth of the demons. He has a powerful super bike and a combat suit.  Inspired by the classic Space Sheriff (Uchuu Keiji) trilogy of the Metal Heroes Tokusatsu franchise, namely Space Sheriff's Gavan and Sharivan. \n\n(Source: AniDB)"""
animeRelated	[b'Call Me Tonight', b'Body Jack: Tanoshii Yutai Ridatsu', b'Maryuu Senki']
animeCharacters	[b'Shihodo, Hikaru', b'Amakusa, Shiro', b'Shiina, Yayoi', b'Hazuki, Azumi', b'Narrator', b'Demonic Beast', b'Gomi, Kyousuke']
animeVoices	[b'\nSeki, Toshihiko\nJapanese\n', b'\nSogabe, Kazuyuki\nJapanese\n', b'\nTominaga, Miina\nJapanese\n', b'\nDoi, Mika\nJapanese\n', b'\nGenda, Tesshou\nJapanese\n', b'\nIizuka, Shouzou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOchi, Kazuhiro\n\nDirector, Script, Storyboard, Theme Song Lyrics, Animation Director, Key Animation, Character Design, Original Creator\n\n', b'\nFujiyama, Fusanobu\n\nSound Director\n\n', b'\nKushida, Akira\n\nTheme Song Performance\n\n', b'\nWatanabe, Chuumei\n\nTheme Song Arrangement, Theme Song Composition, Music\n\n']
