animeTitle	b'Hyakko'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.25
animeUsers	18039
animeRank	
animePopularity	
animeDescription	b'On their first day of high school shy Ayumi Nonomura and taciturn Tatsuki Iizuka become lost on the immense campus of Kamizono Academy. An irresistible force of nature named Torako Kageyama accompanied by her best friend Suzume Saotome appears in front of them. Led, sometimes pushed, by Torako, the girls and their classmates work through problems of school, home and adolescence.'
animeRelated	[b'Hyakko', b'Hyakko Extra']
animeCharacters	[b'Kageyama, Torako', b'Saotome, Suzume', b'Nonomura, Ayumi', b'Iizuka, Tatsuki', b'Andou, Nene', b'Tsubomiya, Inori', b'Kazamatsuri, Touma', b'Ooba, Minato', b'Makunouchi, Ushio', b'Kobayashi, Koma']
animeVoices	[b'\nOrikasa, Fumiko\nJapanese\n', b'\nHase, Yurina\nJapanese\n', b'\nHirano, Aya\nJapanese\n', b'\nNeya, Michiko\nJapanese\n', b'\nFujita, Masayo\nJapanese\n', b'\nSatou, Satomi\nJapanese\n', b'\nKuwashima, Houko\nJapanese\n', b'\nNakase, Asuka\nJapanese\n', b'\nKaida, Yuuko\nJapanese\n', b'\nIgarashi, Hiroko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFukuda, Michio\n\nDirector, Episode Director, Storyboard, Animation Director, Key Animation\n\n', b'\nHayase, Hiroyuki\n\nSound Director\n\n', b'\nAndou, Ken\n\nEpisode Director\n\n', b'\nKamitsubo, Ryouki\n\nEpisode Director, Storyboard\n\n']
