animeTitle	Kotori Samba
animeType	TV
animeNumEpisode	240
releaseDate	2015-04-06 00:00:00
endDate	2016-03-09 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14934
animeDescription	Kotori are people who love singing and dancing. Protecting the island they reside on is a calm and anxious Melonia (Melon), a weak and lazy Chocola (Chocolate), a friendly Berrina (Berry) who is fashionable as heck.  
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
