animeTitle	Patalliro! Stardust Keikaku
animeType	Movie
animeNumEpisode	1
releaseDate	1983-07-10 00:00:00
endDate	
animeNumMembers	1222
animeScore	6.54
animeUsers	298
animeRank	5935
animePopularity	10634
animeDescription	"A series of diamond robberies have taken place all over the world. When Malynera's reserves are also emptied, Patalliro and Bancoran head to Japan following a clue in the form of a mechanical spider found on the scene. 

However, while they're interrogating a suspect, he's assassinated before they manage to get any more information from him than the name of an organization, ""Tarantella"". Furthermore, the assassin seems to be Bancoran's former lover Bjorn, who's supposed to be dead! Is he really alive and involved in the case? Can our heroes find out more about him and the mysterious organization in time to put a stop to their plans? "
animeRelated	['Patalliro!']
animeCharacters	['Juschenfe, Maraich', 'Bancoran, Major Jack Barbarossa', 'Patalliro the 8th', 'Bjorn', 'Sanders, Iyomante', 'Kanja Neko', 'Shugerg', 'Andresen', 'Patalliro the 7th', 'Plasma X']
animeVoices	['Fujita, Toshiko', 'Sogabe, Kazuyuki', 'Shiraishi, Fuyumi', 'Toda, Keiko', 'Takiguchi, Junpei', 'Ootake, Hiroshi', 'Otsuka, Chikao', 'Tajima, Reiko', 'Sugiyama, Kazuko', 'Hori, Hideyuki']
animeStaff	[['Nishizawa, Nobutaka', 'Director'], ['Maya, Mineo', 'Original Creator'], ['Aoki, Nozomi', 'Music'], ['Matsuda, Akihiko', 'Sound Effects']]
