animeTitle	b'Oppai Life'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.58
animeUsers	3127
animeRank	
animePopularity	
animeDescription	b'Naoto is a university student. One day, he meets Ayane, his old friend, by chance after an interval of several years. Also, Chika, his old friend as well, suddenly appears in front of him. She tells him to become her tutor and they start living together but will Naoto resist the temptation of those delicious big boobs?'
animeRelated	[b'Oppai Life: Ohayou kara Oyasumi made Momisui Seikatsu']
animeCharacters	[b'Yukishiro, Ayane', b'Hayakawa, Chika', b'Sudou, Naoto ']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshida, Tomohiro\n\nSound Director\n\n', b'\nBlue Gale\n\nOriginal Creator\n\n', b'\nTsubone, Kentarou\n\nEditing\n\n', b'\nSakurai, Mairi\n\nOriginal Character Design\n\n']
