animeTitle	b'Happyakuyachou Hyouri Kewaishi'
animeType	b'TV'
animeNumEpisode	16
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Set in early 1900s Tokyo, its story is about a makeup artist named Kosannba. All the women desire to have their make up done by Kosannba because he is the best. He also manages to get intertwined into the lives of many women and proceeds to work out their various problems.\n\n(Source: MU)'
animeRelated	[b'108 Ward Inside and Out: Make-Up Artist']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
