animeTitle	b'Manga Doushite Monogatari'
animeType	b'TV'
animeNumEpisode	100
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis has been added for this series yet.\n\nClick here to update this information.'
animeRelated	[b'Manga Hajimete Monogatari', b'Manga Naruhodo Monogatari', b'Manga Doushite Monogatari OVA']
animeCharacters	[b'Mogutan']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nSerizawa, Hiroaki\n\nTheme Song Composition\n\n', b'\nFuruta, Yoshiaki\n\nTheme Song Composition\n\n', b'\nIbe, Harumi\n\nMusic\n\n']
